,ActualWarrenty,CompanyWarranty,ContactForce,Cracks,CurrentFlow,DateTime,DeviceCategory,DeviceSpeed,DynamicAcceleration,EnvTemperature,HeatGenerated,Humidity,ImpactAcceleration,LateralAcceleration,Latitude,Longitude,Noofdevices,RepairedNo,Strain,StructureDistortion,StructureMovement,TransverseDeformation,UsagePerDay,VerticalContactForce,VerticalDisplacement,Vibration:,Voltage,WindSpeed,category
52,9,1,1712,0,16,2016-12-18,Measuring Tools,1606,237,24,41,88,8,82,39,99,52,2,4,9,7,0,23,1186,19,173,170,20,Power Tools
53,24,1,7420,1,16,2016-12-18,Cordless Power Tools,1002,93,21,87,96,17,170,68,142,33,4,2,0,0,7,15,1064,13,100,180,23,Power Tools
54,26,1,8093,1,16,2016-12-18,Fastening Systems,1410,152,53,77,35,28,215,0,67,25,3,5,4,7,4,20,1518,47,247,228,17,Power Tools
55,24,1,7453,1,16,2016-12-19,Diamond Tools,1344,235,32,78,97,29,170,79,74,56,5,5,0,9,1,15,1242,21,150,241,35,Power Tools
56,39,1,2332,1,16,2016-12-19,Drilling and Demolition Tools,562,170,51,96,45,17,2,62,46,39,2,7,9,4,4,4,1245,34,140,236,31,Power Tools
57,21,1,1803,1,16,2016-12-19,Measuring Tools,1794,190,40,45,89,7,169,63,77,13,1,1,2,6,6,2,1059,13,51,222,16,Power Tools
58,25,1,3162,1,16,2016-12-19,Cordless Power Tools,1131,88,52,51,33,16,123,86,148,41,3,2,3,5,7,8,1624,46,235,243,12,Power Tools
59,14,1,5938,1,16,2016-12-19,Fastening Systems,1628,6,35,65,91,3,175,63,97,14,1,2,2,2,2,15,1458,44,99,179,24,Power Tools
60,15,1,4276,0,16,2016-12-20,Diamond Tools,1565,161,39,86,53,22,47,28,54,39,3,10,9,5,10,6,1795,29,200,266,48,Power Tools
61,10,1,4750,0,16,2016-12-20,Drilling and Demolition Tools,1393,109,34,76,81,18,95,52,30,0,3,2,2,3,2,4,1381,38,204,270,3,Power Tools
62,2,1,3774,0,16,2016-12-20,Measuring Tools,1331,185,45,79,92,26,177,37,120,58,5,6,1,3,2,8,1572,14,231,217,13,Power Tools
63,9,1,6234,0,16,2016-12-20,Cordless Power Tools,1177,103,57,83,30,22,21,81,55,51,2,7,7,8,0,1,1080,11,113,255,2,Power Tools
64,32,1,7365,0,16,2016-12-20,Fastening Systems,785,98,37,92,96,5,116,85,72,25,4,0,5,9,10,11,1865,19,207,224,23,Power Tools
65,13,1,8520,1,16,2016-12-21,Diamond Tools,628,205,55,63,84,27,137,17,133,6,2,6,5,10,4,24,1177,48,75,206,3,Power Tools
66,26,1,1961,0,16,2016-12-21,Drilling and Demolition Tools,957,162,49,48,47,20,5,20,59,7,5,10,10,10,8,3,1457,50,196,263,10,Power Tools
67,6,1,1379,1,16,2016-12-21,Measuring Tools,1969,16,43,58,80,26,207,84,38,57,2,10,7,1,1,13,1875,37,70,227,28,Power Tools
68,50,1,7608,0,16,2016-12-21,Cordless Power Tools,690,240,36,96,53,12,217,2,140,53,2,10,4,9,8,19,1563,8,236,258,31,Power Tools
69,48,1,8005,0,16,2016-12-21,Fastening Systems,1542,151,46,84,67,27,132,14,45,53,0,1,1,0,4,10,1156,29,62,175,27,Power Tools
70,1,1,6594,1,16,2016-12-22,Diamond Tools,1022,105,35,66,57,15,176,71,180,12,0,3,7,9,0,22,1526,34,50,250,15,Power Tools
71,9,1,9015,1,16,2016-12-22,Drilling and Demolition Tools,1521,84,21,56,36,24,76,79,129,44,3,0,10,1,2,24,1354,27,75,227,11,Power Tools
72,42,1,6859,1,16,2016-12-22,Measuring Tools,973,181,51,58,67,0,85,60,1,41,4,9,8,9,10,3,1786,1,141,255,29,Power Tools
73,25,1,5118,0,16,2016-12-22,Cordless Power Tools,1529,103,44,71,53,10,62,46,24,60,5,2,3,4,7,24,1051,0,120,264,25,Power Tools
74,19,1,3278,1,16,2016-12-22,Fastening Systems,521,156,48,78,49,15,48,69,59,31,2,0,2,6,9,10,1142,43,91,213,37,Power Tools
75,40,1,5216,1,16,2016-12-23,Diamond Tools,1289,119,54,70,91,18,179,64,137,56,0,6,9,7,3,14,1183,19,217,157,28,Power Tools
76,15,1,3892,0,16,2016-12-23,Drilling and Demolition Tools,1982,219,52,46,69,27,115,6,45,18,3,7,3,10,2,7,1742,42,229,162,46,Power Tools
77,3,1,8690,0,16,2016-12-23,Measuring Tools,1254,225,29,64,65,16,17,84,72,56,4,4,1,5,1,1,1503,27,21,241,23,Power Tools
78,22,1,9272,1,16,2016-12-23,Cordless Power Tools,1544,153,21,82,71,22,129,64,24,19,2,10,6,5,2,15,1934,34,109,224,27,Power Tools
79,49,1,3319,0,16,2016-12-23,Fastening Systems,1929,135,49,56,84,2,77,24,79,57,0,8,4,7,8,7,1498,18,151,181,3,Power Tools
80,31,1,9814,1,16,2016-12-24,Diamond Tools,780,204,45,45,37,23,216,34,9,54,0,0,10,10,1,14,1258,15,178,268,23,Power Tools
81,21,1,2940,1,16,2016-12-24,Drilling and Demolition Tools,1645,93,50,57,89,8,183,9,76,51,4,8,10,8,6,24,1284,19,208,229,35,Power Tools
82,26,1,1506,0,16,2016-12-24,Measuring Tools,1438,167,24,100,51,28,20,58,100,2,2,0,0,4,5,20,1587,42,180,210,3,Power Tools
83,42,1,6904,1,16,2016-12-24,Cordless Power Tools,1628,238,30,84,66,3,17,16,52,7,1,4,4,2,5,0,1565,19,226,150,1,Power Tools
84,43,1,5851,0,16,2016-12-24,Fastening Systems,889,226,23,84,74,12,245,63,44,34,2,1,3,1,1,1,1212,41,42,171,27,Power Tools
85,41,1,9826,1,16,2016-12-25,Diamond Tools,1153,110,55,67,66,27,173,45,178,40,0,1,3,6,10,6,1604,35,65,171,33,Power Tools
86,6,1,3101,1,16,2016-12-25,Drilling and Demolition Tools,1946,175,43,45,100,16,95,70,159,52,1,6,3,7,4,4,1624,28,53,236,22,Power Tools
87,33,1,9075,0,16,2016-12-25,Measuring Tools,1707,40,55,75,49,20,180,52,173,8,0,9,8,10,10,7,1035,3,193,242,30,Power Tools
88,24,1,5206,0,16,2016-12-25,Cordless Power Tools,686,178,58,95,73,24,99,54,58,28,3,2,5,3,6,12,1051,42,13,205,12,Power Tools
89,6,1,6403,1,16,2016-12-25,Fastening Systems,1991,55,34,75,77,25,181,18,75,26,5,9,8,0,3,4,1597,48,97,262,10,Power Tools
90,4,1,2032,0,16,2016-12-26,Diamond Tools,654,152,48,56,52,20,139,65,124,2,2,4,2,3,5,5,1758,21,221,221,21,Power Tools
91,40,1,5112,1,16,2016-12-26,Drilling and Demolition Tools,591,83,31,49,76,12,208,38,9,59,4,6,10,2,2,5,1223,11,66,203,27,Power Tools
92,48,1,2838,1,16,2016-12-26,Measuring Tools,539,81,36,82,69,28,116,5,150,52,1,10,6,3,2,10,1840,18,58,168,49,Power Tools
93,4,1,1116,1,16,2016-12-26,Cordless Power Tools,781,159,37,80,85,0,175,62,107,23,3,2,4,9,6,14,1117,28,72,212,16,Power Tools
94,5,1,7653,1,16,2016-12-26,Fastening Systems,859,188,27,97,97,9,152,16,49,28,0,5,8,6,4,14,1214,25,128,238,43,Power Tools
95,17,1,4607,1,16,2016-12-27,Diamond Tools,904,44,36,42,97,18,70,28,136,15,5,9,1,7,8,14,1253,47,97,259,36,Power Tools
96,46,1,5992,1,16,2016-12-27,Drilling and Demolition Tools,1499,185,54,95,84,17,59,17,45,17,0,10,8,5,2,21,1394,39,148,196,10,Power Tools
97,4,1,6460,0,16,2016-12-27,Measuring Tools,614,167,47,77,100,16,188,87,5,55,2,10,6,1,2,0,1755,4,121,228,18,Power Tools
98,16,1,6498,1,16,2016-12-27,Cordless Power Tools,1407,10,46,42,78,3,162,1,132,18,0,8,8,6,7,5,1088,10,180,226,43,Power Tools
99,32,1,1651,1,16,2016-12-27,Fastening Systems,831,8,34,81,57,23,173,25,61,43,2,1,10,5,10,16,1287,7,32,181,26,Power Tools
100,18,1,7840,1,16,2016-12-28,Diamond Tools,1969,232,21,65,70,7,95,59,3,42,4,2,0,1,2,1,1550,17,156,194,46,Power Tools
101,40,1,4756,1,16,2016-12-28,Drilling and Demolition Tools,1368,210,53,68,37,13,154,24,173,2,4,3,10,5,8,7,1183,17,38,247,32,Power Tools
102,25,1,3374,1,16,2016-12-28,Measuring Tools,1302,179,33,79,47,27,233,82,83,48,1,5,2,8,2,18,1104,40,148,257,36,Power Tools
103,48,1,9522,0,16,2016-12-28,Cordless Power Tools,633,175,40,49,56,23,203,38,129,58,5,0,6,10,2,0,1981,7,180,260,8,Power Tools
104,15,1,2024,1,16,2016-12-28,Fastening Systems,862,128,54,49,48,4,193,70,140,9,0,0,9,7,2,8,1338,36,242,263,25,Power Tools
105,26,1,5658,1,16,2016-12-29,Diamond Tools,887,81,58,80,33,20,164,55,154,46,3,1,8,10,4,1,1063,32,213,204,36,Power Tools
106,26,1,9632,0,16,2016-12-29,Drilling and Demolition Tools,1305,19,33,42,76,13,49,1,136,43,5,7,10,8,3,21,1318,24,48,169,1,Power Tools
107,47,1,4758,1,16,2016-12-29,Measuring Tools,608,231,49,72,62,22,101,32,158,17,3,5,8,2,1,7,1602,8,83,255,9,Power Tools
108,4,1,4090,1,16,2016-12-29,Cordless Power Tools,766,26,46,98,74,14,60,78,0,31,2,5,8,3,9,22,1831,18,219,250,46,Power Tools
109,26,1,5576,0,16,2016-12-29,Fastening Systems,1071,84,44,58,88,9,189,1,178,23,1,4,6,6,0,11,1965,40,144,238,6,Power Tools
110,20,1,5144,1,16,2016-12-30,Diamond Tools,656,142,48,98,70,9,106,77,75,2,0,5,4,0,7,19,1295,31,243,195,24,Power Tools
111,42,1,4185,0,16,2016-12-30,Drilling and Demolition Tools,898,173,38,91,30,18,40,4,73,21,1,4,0,0,4,11,1343,48,241,210,10,Power Tools
112,35,1,7298,1,16,2016-12-30,Measuring Tools,876,89,21,100,42,14,208,79,118,35,4,7,8,9,0,9,1781,43,192,252,41,Power Tools
113,29,1,9299,1,16,2016-12-30,Cordless Power Tools,1162,193,26,82,96,19,128,6,15,11,3,6,2,2,7,23,1184,21,117,167,44,Power Tools
114,36,1,5495,0,16,2016-12-30,Fastening Systems,1518,228,22,85,34,24,11,9,70,0,0,9,2,5,7,4,1391,49,19,185,45,Power Tools
115,30,1,6426,0,16,2016-12-31,Diamond Tools,569,20,24,63,57,21,81,33,109,57,4,5,7,9,10,4,1695,18,8,159,33,Power Tools
116,38,1,8606,1,16,2016-12-31,Drilling and Demolition Tools,1145,147,46,58,59,15,21,20,82,8,2,0,3,3,6,20,1462,42,151,156,19,Power Tools
117,1,1,1867,1,16,2016-12-31,Measuring Tools,1581,208,43,71,93,22,118,13,68,45,3,7,0,0,8,15,1892,2,245,224,42,Power Tools
118,52,1,4267,0,16,2016-12-31,Cordless Power Tools,1306,135,32,75,31,9,187,86,133,60,0,5,1,3,5,5,1051,26,114,257,35,Power Tools
119,40,1,8459,0,16,2016-12-31,Fastening Systems,1509,131,38,43,64,4,109,33,51,27,3,2,2,9,4,10,1719,14,1,239,39,Power Tools
120,42,1,4942,0,16,2017-01-01,Diamond Tools,983,6,34,92,47,11,36,70,103,47,0,2,1,5,10,5,1503,39,205,162,32,Power Tools
121,26,1,2841,1,16,2017-01-01,Drilling and Demolition Tools,1546,45,37,87,69,6,55,50,64,59,4,4,8,3,10,8,1942,43,110,196,44,Power Tools
122,39,1,3102,1,16,2017-01-01,Measuring Tools,649,138,54,76,100,17,202,55,38,51,2,7,4,4,7,0,1288,28,118,156,18,Power Tools
123,41,1,1741,1,16,2017-01-01,Cordless Power Tools,1862,158,27,43,97,5,112,33,68,16,4,10,3,0,0,12,1601,23,119,269,29,Power Tools
124,3,1,6312,1,16,2017-01-01,Fastening Systems,1600,221,53,83,53,4,29,51,145,48,2,5,7,5,5,16,1363,31,136,261,11,Power Tools
125,5,1,4484,0,16,2017-01-02,Diamond Tools,1669,50,56,91,54,28,66,56,156,3,3,6,9,8,4,19,1762,34,168,251,43,Power Tools
126,8,1,1569,0,16,2017-01-02,Drilling and Demolition Tools,1125,184,35,82,81,4,202,51,60,37,4,9,6,0,8,18,1389,43,46,235,36,Power Tools
127,1,1,5318,0,16,2017-01-02,Measuring Tools,1556,142,46,51,93,30,73,60,19,54,1,6,9,3,0,5,1331,50,62,228,27,Power Tools
128,3,1,9444,1,16,2017-01-02,Cordless Power Tools,792,137,55,82,98,27,14,29,7,35,5,0,9,8,8,13,1534,50,171,264,42,Power Tools
129,38,1,9541,1,16,2017-01-02,Fastening Systems,1182,226,57,75,46,6,181,12,115,46,2,2,5,1,10,17,1857,50,6,159,27,Power Tools
130,25,1,1234,0,16,2017-01-03,Diamond Tools,964,248,26,78,40,28,187,64,23,35,4,0,5,3,2,4,1242,32,62,246,24,Power Tools
131,44,1,7534,1,16,2017-01-03,Drilling and Demolition Tools,1661,173,32,67,97,28,178,62,132,25,2,1,7,8,0,24,1324,25,63,198,40,Power Tools
132,21,1,6657,0,16,2017-01-03,Measuring Tools,596,3,53,87,63,22,171,26,54,3,2,7,0,9,8,15,1567,3,144,230,16,Power Tools
133,6,1,5439,0,16,2017-01-03,Cordless Power Tools,527,81,48,52,64,28,194,69,17,29,2,10,3,3,9,6,1245,30,160,180,37,Power Tools
134,26,1,6752,0,16,2017-01-03,Fastening Systems,1196,40,36,69,66,25,142,3,4,49,2,7,8,8,5,3,1149,1,25,265,35,Power Tools
135,41,1,8145,1,16,2017-01-04,Diamond Tools,1016,107,34,47,87,16,38,63,145,15,1,1,5,7,2,23,1971,26,115,178,17,Power Tools
136,48,1,6604,1,16,2017-01-04,Drilling and Demolition Tools,1609,60,48,89,75,25,56,43,29,11,5,0,9,1,3,4,1318,10,135,206,33,Power Tools
137,15,1,5555,0,16,2017-01-04,Measuring Tools,782,65,51,66,80,26,85,65,126,60,0,8,1,5,0,12,1600,18,155,209,42,Power Tools
138,30,1,2409,1,16,2017-01-04,Cordless Power Tools,786,193,29,68,95,30,97,28,88,11,5,7,8,6,3,16,1560,36,156,241,25,Power Tools
139,38,1,9732,1,16,2017-01-04,Fastening Systems,1663,194,59,56,59,7,187,20,127,35,5,7,4,9,7,20,1430,10,57,252,5,Power Tools
140,43,1,2332,1,16,2017-01-05,Diamond Tools,515,65,32,64,96,2,219,41,49,4,4,3,8,4,4,10,1189,26,181,262,37,Power Tools
141,5,1,8472,0,16,2017-01-05,Drilling and Demolition Tools,1728,167,60,74,78,1,207,69,8,8,0,7,7,1,1,21,1957,39,53,224,3,Power Tools
142,26,1,5480,0,16,2017-01-05,Measuring Tools,903,223,32,84,83,19,99,1,81,56,0,9,7,3,3,23,1518,19,220,250,50,Power Tools
143,6,1,5199,1,16,2017-01-05,Cordless Power Tools,1790,145,53,76,51,18,41,39,67,18,1,6,5,7,7,11,1328,1,152,246,12,Power Tools
144,40,1,2836,0,16,2017-01-05,Fastening Systems,1633,201,25,42,34,21,238,40,40,45,3,3,1,3,7,10,1076,16,172,260,39,Power Tools
145,42,1,7386,1,16,2017-01-06,Diamond Tools,768,16,47,54,35,21,210,27,76,26,4,6,4,9,8,14,1781,41,98,159,50,Power Tools
146,46,1,6921,1,16,2017-01-06,Drilling and Demolition Tools,997,150,58,56,38,2,230,57,9,43,2,4,5,0,8,15,1525,40,158,238,47,Power Tools
147,12,1,7465,0,16,2017-01-06,Measuring Tools,949,15,20,91,92,25,141,13,59,33,3,4,6,5,5,23,1412,22,220,222,31,Power Tools
148,50,1,3196,0,16,2017-01-06,Cordless Power Tools,1992,102,29,85,66,17,228,4,74,26,4,0,0,1,3,14,1589,49,21,231,11,Power Tools
149,24,1,4867,0,16,2017-01-06,Fastening Systems,1179,178,30,53,56,4,209,86,47,4,4,4,2,2,10,2,1244,0,201,195,31,Power Tools
150,14,1,9054,1,16,2017-01-07,Diamond Tools,1952,54,58,58,72,16,25,10,36,18,2,6,4,10,3,3,1984,40,117,252,5,Power Tools
151,16,1,9928,1,16,2017-01-07,Drilling and Demolition Tools,1168,227,34,69,57,3,157,66,16,25,4,2,6,0,3,9,1263,28,53,216,33,Power Tools
152,26,1,2961,0,16,2017-01-07,Measuring Tools,1233,25,59,75,46,23,185,7,160,49,3,4,4,4,6,15,1621,47,85,215,9,Power Tools
153,35,1,5262,1,16,2017-01-07,Cordless Power Tools,1871,48,54,46,97,5,248,53,126,57,0,0,10,4,1,14,1029,33,99,184,27,Power Tools
154,32,1,2547,1,16,2017-01-07,Fastening Systems,2000,25,33,58,53,14,34,68,87,1,4,3,2,1,1,1,1164,14,7,210,41,Power Tools
155,36,1,9114,0,16,2017-01-08,Diamond Tools,1803,180,51,60,49,13,86,60,110,38,3,7,5,8,1,10,1431,2,82,227,1,Power Tools
156,42,1,2536,0,16,2017-01-08,Drilling and Demolition Tools,1272,95,23,95,46,0,130,70,82,41,0,1,4,2,7,12,1416,28,154,194,8,Power Tools
157,26,1,4395,1,16,2017-01-08,Measuring Tools,1600,136,25,53,88,24,28,56,146,9,3,2,8,8,3,2,1249,16,10,199,45,Power Tools
158,31,1,7109,1,16,2017-01-08,Cordless Power Tools,1283,201,28,90,62,19,243,48,68,44,3,9,1,6,5,1,1632,32,134,191,37,Power Tools
159,47,1,5937,0,16,2017-01-08,Fastening Systems,1964,65,41,99,35,29,118,3,100,16,0,5,2,4,7,15,1224,46,205,242,31,Power Tools
160,18,1,8638,0,16,2017-01-09,Diamond Tools,1236,238,57,74,56,12,136,32,43,45,1,9,7,0,7,23,1595,49,88,237,1,Power Tools
161,45,1,2169,1,16,2017-01-09,Drilling and Demolition Tools,1947,163,35,67,62,7,141,74,14,24,5,9,4,1,4,20,1665,36,72,159,45,Power Tools
162,28,1,4854,1,16,2017-01-09,Measuring Tools,1389,88,50,54,63,1,10,29,19,8,4,4,4,5,7,14,1448,14,138,164,43,Power Tools
163,39,1,1113,0,16,2017-01-09,Cordless Power Tools,503,10,46,59,62,21,76,35,91,47,1,9,7,0,8,3,1518,46,161,192,42,Power Tools
164,22,1,9380,1,16,2017-01-09,Fastening Systems,618,34,54,52,70,11,143,16,126,27,4,9,9,2,3,15,1636,2,92,252,1,Power Tools
165,12,1,7572,1,16,2017-01-10,Diamond Tools,1394,184,45,80,44,20,98,72,130,44,3,10,8,3,2,24,1237,5,239,217,12,Power Tools
166,9,1,8626,0,16,2017-01-10,Drilling and Demolition Tools,1301,154,32,88,59,10,89,59,156,13,3,0,0,3,10,18,1125,46,158,191,26,Power Tools
167,35,1,9455,0,16,2017-01-10,Measuring Tools,1245,163,47,59,42,19,77,3,3,52,4,8,7,0,1,16,1882,17,143,199,27,Power Tools
168,44,1,2597,1,16,2017-01-10,Cordless Power Tools,1708,7,38,47,96,11,171,40,39,25,4,3,1,3,6,20,1149,25,101,221,3,Power Tools
169,24,1,2404,1,16,2017-01-10,Fastening Systems,1428,203,30,97,63,27,142,7,175,20,2,4,3,6,7,15,1716,46,231,206,40,Power Tools
170,23,1,4734,0,16,2017-01-11,Diamond Tools,1906,229,41,41,37,8,15,80,14,6,2,6,4,0,2,13,1315,38,78,205,19,Power Tools
